1 Section 01-17 se
constitution -(005 Equality is guaranteed by the Constitution.)	憲法
cautious -(520 As far as Bob is concerned, anything goes. By contrast, Jane is very cautious.)	用心深い、慎重な

drag ... -(521 After an awkward pause, Bill took her by the hand and dragged her upstairs.)	...を無理に引っ張って進む

comfort ... -(522 Bill just wanted to comfort Monica, but she interpreted it as romantic interest.)	(動)...を慰める

interpret A (as B) -(522 Bill just wanted to comfort Monica, but she interpreted it as romantic interest.)	Aを(Bの意味に)解釈する

creep -(523 After making sure she was sound asleep, he crept out of the room and set off.)	静かに歩く

set off -(523 After making sure she was sound asleep, he crept out of the room and set off.)	出発する

sound -(523 After making sure she was sound asleep, he crept out of the room and set off.)	(副)深く

come across ... -(524 Between you and me, Lisa, I came across Nick passionately embracing a woman.)	...を偶然見つける

embrace (...) -(524 Between you and me, Lisa, I came across Nick passionately embracing a woman.)	(...を)強く抱きしめる

passionately -(524 Between you and me, Lisa, I came across Nick passionately embracing a woman.)	情熱的に

be open to ... -(525 Such a remark is open to misunderstanding.)	(動)...を受けやすい

remark -(525 Such a remark is open to misunderstanding.)	発言

stand ... -(526 "I can't stand it anytmore!" "Calm down. I'll come over as soon as possible.")	...に我慢する

be inclined to do -(527 Don't take it literally. He is inclined to exaggerate.)	doする傾向がある

exaggerate (...) -(527 Don't take it literally. He is inclined to exaggerate.)	(動)(...を)大げさに表現する

be in a good mood -(528 "You should apologize to Lisa for making fun of her. You went too far this time." "Yeah ... I will, sometime when she's in a better mood.")	(動)機嫌がいい

divorce (...) -(529 "Lisa, are you getting along with Nick?" "Once in a while, I think of divorcing him." "You must be kidding!")	(...と)離婚する

get along (well) with ... -(529 "Lisa, are you getting along with Nick?" "Once in a while, I think of divorcing him." "You must be kidding!")	...とうまくやっていく

in tears -(530 In tears, she tore up his letter and threw it away.)	泣きながら

tear ... up -(530 In tears, she tore up his letter and threw it away.)	...を引き裂く

deceive ... -(531 "Jennifer deceived me!" "You should have known better than to trust her.")	...をだます

adolescence -(533 I cannot look back on my adolescence without feeling depressed.)	思春期

depressed -(533 I cannot look back on my adolescence without feeling depressed.)	憂鬱な

look back (on ...) -(533 I cannot look back on my adolescence without feeling depressed.)	(...を)振り返る

see ... off -(535 "No wonder she didn't show up to see him off." "How come?" "They broke up." "Oh, what a pity!")	...を見送る

sob -(536 "Living here all by myself is torture!" he sobbed.)	すすり泣く

torture -(536 "Living here all by myself is torture!" he sobbed.)	(名)拷問

ask ... out -(537 "To be honest, I'm crazy about Ken because he's brave, self-confident, and never afraid of taking risks." "If I were you, I'd ask him out!")	(動)...をデートに誘う

go with ... -(538 "I've been going with Jennifer on and off for ages." "You're as indecisive as ever. Isn't it about time you settled down?")	...と付き合う

indecisive -(538 "I've been going with Jennifer on and off for ages." "You're as indecisive as ever. Isn't it about time you settled down?")	(形)決断力のない

settle down -(538 "I've been going with Jennifer on and off for ages." "You're as indecisive as ever. Isn't it about time you settled down?")	身を固める

all along -(539 "It dawned on me that I had been taken in by Jennifer all along." "How naive! Didn't you see through her?")	最初からずっと

be taken in by ... -(539 "It dawned on me that I had been taken in by Jennifer all along." "How naive! Didn't you see through her?")	...にだまされる

it dawns on A that ~ -(539 "It dawned on me that I had been taken in by Jennifer all along." "How naive! Didn't you see through her?")	~ということにAが気付いてくる

see through ... -(539 "It dawned on me that I had been taken in by Jennifer all along." "How naive! Didn't you see through her?")	...の正体を見抜く

be seeing ... -(540 Even though she is seeing someone else, I won't give her up.)	...と付き合っている

delight -(543 "Delight" is the opposite of "sorrow.")	喜び

go so far as to do -(544 "Jennifer went so far as to call me an idiot and she wouldn't take it back." "Serves you right! You provoked her, didn't you?")	doさえもする

provoke ... -(544 "Jennifer went so far as to call me an idiot and she wouldn't take it back." "Serves you right! You provoked her, didn't you?")	...を引き起こす、...を挑発する

arrogance -(545 "Why do you put up with her arrogance? She's just taking advantage of you." "Shut up!")	傲慢さ

take advantage of ... -(545 "Why do you put up with her arrogance? She's just taking advantage of you." "Shut up!")	...を悪用する

reflect on[upon] ... -(546 Take your time. I know you need a couple of days to reflect on it.)	(動)...をよく考える

get through ... -(547 Bob has to get through this ordeal on his own.)	...を乗り切る

ordeal -(547 Bob has to get through this ordeal on his own.)	厳しい試練

interfere (with ...) -(548 Flies and mosquitoes interfered with his meditation.)	(...の)邪魔をする

ritual -(549 The sacred ritual took place after being postponed twice.)	儀式

sacred -(549 The sacred ritual took place after being postponed twice.)	神聖な

all at once -(550 All at once, the Buddhist priest burst into laughter, spoiling the solemn atmosphere.)	(副)突然

burst into ... -(550 All at once, the Buddhist priest burst into laughter, spoiling the solemn atmosphere.)	(動)突然...の状態になる

solemn -(550 All at once, the Buddhist priest burst into laughter, spoiling the solemn atmosphere.)	(形)厳粛な

sneeze -(551 Cover your mouth when you cough, sneeze, or yawn.)	くしゃみをする

yawn -(551 Cover your mouth when you cough, sneeze, or yawn.)	あくびをする

funeral -(553 Besides attending the funeral, she needs to make all the arrangements.)	葬式

make arrangements -(553 Besides attending the funeral, she needs to make all the arrangements.)	段取りをつける

grief -(554 "I feel for you, Jane. Grief doesn't fade away quickly." "I'm OK. I'll get over it.")	深い悲しみ
